ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
IBP,17.07,6.47,12.97,1399,216.0,237.85,51,,,N,N,N
TRMB,10.45,2.83,39.13,8559,3024.0,59.81,,,,N,N,N
PLTR,3.52,1.91,5.32,1643589,860275.0,162.66,100,2026-11-02,89,N,N,N
KBR,3.45,1.13,20.47,2446,2174.0,37.83,34,,,N,N,N
FBIN,3.14,1.36,9.09,4086,3004.0,52.73,,,,N,N,N
SNAP,3.0,1.61,5.46,242813,150851.0,5.79,93,2026-08-03,-2,N,N,N
STRL,2.91,1.59,5.23,5385,3390.0,541.62,,,,N,N,N
CMG,2.9,1.32,7.93,202962,153234.0,33.82,25,2026-10-27,83,N,N,N
ZETA,2.75,1.35,6.65,100792,74686.0,24.26,,,,N,N,N
ADC,2.64,0.82,24.44,2094,2566.0,76.32,,,,N,N,N
FIS,2.62,1.38,5.69,11588,8401.0,44.26,100,2026-08-04,-1,N,N,N
BR,2.09,1.03,6.56,1984,1923.0,168.41,48,2026-08-04,-1,N,N,N
BETR,2.02,0.94,7.5,2032,2150.0,17.27,7,,,N,N,N
HUBB,1.95,1.08,5.08,3285,3033.0,502.24,37,2026-10-26,82,N,N,N
ARVN,1.94,1.14,4.48,1320,1158.0,9.00,,2026-08-04,-1,N,N,N
APTV,1.87,0.75,11.06,7326,9766.0,47.72,36,2026-08-04,-1,N,N,N
PTC,1.85,1.15,4.01,2343,2042.0,141.68,9,2026-07-29,-7,N,N,N
TOST,1.62,0.81,6.38,46290,57160.0,33.81,74,2026-08-04,-1,N,N,N
BKNG,1.27,0.7,5.1,37377,53306.0,194.27,48,2026-08-04,-1,N,N,N
UPST,1.2,0.76,3.9,41762,55118.0,30.32,68,2026-08-04,-1,N,N,N
