ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
LW,5.02,1.55,24.24,14525,9343.0,46.67,,,,N,N,N
DVA,0.87,0.6,3.27,7396,12331.0,183.86,34,2026-11-04,46,N,N,N
DT,0.86,0.58,3.39,8199,14021.0,55.14,76,,,N,N,N
