ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
IBP,23.85,10.36,8.99,2628,254.0,241.51,51,,,N,N,N
PODD,9.65,3.41,15.91,6366,1865.0,133.26,100,2026-08-05,-1,N,N,N
SOLV,4.66,1.55,19.03,2633,1694.0,87.47,38,2026-08-05,-1,N,N,N
DVA,4.33,1.43,19.59,10660,7440.0,188.69,68,2026-10-27,82,N,N,N
FLUT,4.07,1.91,7.37,16653,8698.0,92.91,26,2026-08-05,-1,N,N,N
HUBB,3.83,1.78,7.65,6214,3501.0,513.58,37,2026-10-26,81,N,N,N
CDW,3.24,1.4,9.21,6300,4513.0,140.10,65,2026-08-05,-1,N,N,N
DASH,2.8,1.27,8.11,54153,42715.0,207.27,92,2026-08-05,-1,N,N,N
ZETA,2.76,1.5,5.33,118905,79435.0,27.07,,,,N,N,N
HUBS,2.28,1.06,7.62,10768,10152.0,250.21,32,2026-08-05,-1,N,N,N
EXPE,2.26,1.2,5.62,12660,10591.0,319.66,52,2026-08-05,-1,N,N,N
APP,1.85,1.12,4.24,66739,59632.0,417.80,78,2026-08-05,-1,N,N,N
ADC,1.57,0.83,5.6,2086,2511.0,76.08,,,,N,N,N
PTC,1.57,1.07,3.35,2351,2206.0,139.43,7,2026-07-29,-8,N,N,N
CACI,1.49,1.0,3.47,694,697.0,518.03,,,,N,N,N
XYZ,1.34,0.78,4.54,70352,89899.0,84.20,81,2026-08-05,-1,N,N,N
UBER,1.3,0.8,4.03,245727,306039.0,68.18,35,2026-08-05,-1,N,N,N
SHOP,1.26,0.76,4.25,119947,157210.0,144.24,100,2026-08-05,-1,N,N,N
BETR,1.19,0.73,4.11,1566,2146.0,17.74,7,,,N,N,N
FBIN,1.17,0.77,3.6,2436,3168.0,52.29,,,,N,N,N
