ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
KNSL,2.37,1.37,4.66,944,692.0,332.28,100,2026-07-23,-1,N,N,N
TEL,2.11,1.27,4.24,20647,16218.0,198.79,100,2026-07-22,-2,N,N,N
EQNR,2.09,1.02,6.79,17054,16754.0,40.99,54,2026-07-22,-2,N,N,N
SIRI,1.97,0.87,8.51,33332,38148.0,29.87,,,,N,N,N
HIG,1.34,0.75,4.95,1419,1889.0,142.18,,2026-07-23,-1,N,N,N
ACN,1.23,0.69,4.91,50250,72524.0,138.74,44,2026-09-24,62,N,N,N
EFX,0.98,0.57,4.64,1667,2929.0,166.72,100,2026-10-19,87,N,N,N
FITB,0.82,0.52,3.88,9603,18599.0,57.15,46,2026-10-19,87,N,N,N
RTX,0.76,0.5,3.49,24856,49385.0,209.16,62,2026-07-23,-1,N,N,N
