ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
HALO,15.28,4.27,34.86,9686,2270.0,85.76,100,2026-08-06,-1,N,N,N
ALKT,3.4,1.47,9.02,7626,5172.0,19.69,,2026-10-28,82,N,N,N
SOLV,2.74,1.3,7.26,2303,1776.0,82.96,84,2026-11-04,89,N,N,N
DOCS,2.67,1.1,10.27,22481,20382.0,20.66,,,,N,N,N
HUBS,2.03,1.06,5.75,11578,10890.0,202.43,32,2026-11-03,88,N,N,N
ALL,1.9,1.03,5.29,11573,11235.0,275.11,62,2026-11-04,89,N,N,N
FBIN,1.65,0.98,4.38,3430,3504.0,50.35,,,,N,N,N
PRAX,1.54,1.04,3.43,1229,1187.0,370.16,,,,N,N,N
HST,1.38,0.54,11.64,13013,23950.0,23.38,,2026-11-03,88,N,N,N
RMD,1.38,0.73,5.54,5521,7518.0,223.24,59,2026-08-06,-1,N,N,N
CACI,1.31,0.93,3.08,739,794.0,628.79,,,,N,N,N
APP,1.29,0.92,3.03,57282,62052.0,335.67,39,2026-11-03,88,N,N,N
FOUR,1.2,0.56,7.69,7096,12754.0,43.36,56,2026-08-06,-1,N,N,N
VST,1.15,0.66,4.71,85697,129554.0,141.38,,,,N,N,N
ADC,1.13,0.79,3.19,2102,2672.0,76.35,,,,N,N,N
BROS,1.06,0.67,3.84,12818,19152.0,53.33,,,,N,N,N
BETR,1.02,0.7,3.24,1488,2111.0,16.64,7,,,N,N,N
XYZ,1.01,0.69,3.38,66355,96741.0,79.02,81,2026-11-04,89,N,N,N
HWM,0.82,0.55,3.48,5994,10982.0,289.72,80,2026-08-06,-1,N,N,N
