ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
KNSA,4.52,2.5,5.11,2523,1011.0,80.80,25,,,N,N,N
NVAX,4.14,1.62,11.86,39198,24181.0,8.79,98,2026-11-04,76,N,N,N
RCEL,3.59,2.0,5.02,1175,587.0,10.34,,,,N,N,N
MRNA,2.27,1.04,7.91,168555,162234.0,174.38,,,,N,N,N
BULL,2.26,1.12,6.46,189845,168940.0,8.64,37,2026-08-19,-1,N,N,N
HAS,2.04,0.98,6.99,19284,19660.0,93.33,49,2026-10-21,62,N,N,N
TEM,1.55,0.72,7.48,82896,114470.0,61.25,,,,N,N,N
JKHY,1.1,0.74,3.44,1003,1360.0,163.06,50,2026-08-18,-2,N,N,N
MSTR,0.94,0.67,3.04,680347,1013316.0,104.25,13,2026-10-28,69,N,N,N
