ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
GLP,4.26,1.99,7.53,698,351.0,50.80,,2026-11-05,84,N,N,N
AWI,1.88,1.15,4.12,743,647.0,183.46,43,,,N,N,N
SMCI,1.58,0.92,4.55,630009,681814.0,37.61,90,2026-08-11,-2,N,N,N
CRWV,1.49,0.9,4.27,585092,651819.0,107.73,50,2026-08-11,-2,N,N,N
EFX,1.46,0.67,7.78,3200,4759.0,180.46,50,2026-10-19,67,N,N,N
NBIS,1.46,0.99,3.38,553589,561557.0,259.20,98,2026-08-12,-1,N,N,N
SIRI,1.17,0.71,4.17,73154,102997.0,28.44,,,,N,N,N
NTRS,1.12,0.63,5.01,2011,3214.0,191.33,,,,N,N,N
BMRN,1.0,0.67,3.46,5237,7807.0,70.24,57,2026-08-06,-7,N,N,N
ACM,0.93,0.63,3.35,1807,2856.0,61.04,0,2026-08-10,-3,N,N,N
BIRK,0.91,0.6,3.52,12372,20600.0,36.74,,,,N,N,N
