ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
NUVB,4.09,1.71,9.98,3570,2093.0,6.26,,,,N,N,N
SVRA,3.1,1.22,11.68,2843,2327.0,5.49,,,,N,N,N
ETON,1.95,1.07,5.14,1060,986.0,41.07,,2026-08-06,16,N,N,N
FITB,1.57,0.64,10.75,10439,16401.0,57.40,14,2026-07-17,-4,N,N,N
MNKD,1.53,0.65,9.4,7744,11840.0,3.98,26,2026-08-05,15,N,N,N
BIRK,1.36,0.56,10.21,18547,32903.0,42.77,,,,N,N,N
OTIS,1.13,0.64,4.79,1619,2526.0,73.48,73,,,N,N,N
DPZ,1.02,0.58,4.86,3922,6776.0,328.97,100,2026-07-20,-1,N,N,N
