ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
JKHY,3.82,1.56,10.52,2041,1305.0,153.12,50,2026-08-18,-1,N,N,N
HAS,2.51,1.02,10.63,19796,19335.0,93.99,49,2026-10-21,63,N,N,N
PTC,2.04,1.2,4.44,4525,3765.0,146.48,7,2026-11-04,77,N,N,N
CTSH,1.25,0.81,3.73,19544,24221.0,57.78,56,,,N,N,N
KLAR,1.18,0.75,3.83,37831,50702.0,15.06,73,2026-08-18,-1,N,N,N
APTV,0.87,0.57,3.57,7807,13710.0,48.60,14,2026-10-28,70,N,N,N
