ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
SNAP,6.54,2.42,13.85,331565,136737.0,5.04,87,2026-08-03,-1,N,N,N
PTC,4.3,1.8,9.86,3529,1958.0,139.85,100,2026-07-29,-6,N,N,N
SIRI,3.82,1.66,8.94,71882,43239.0,30.37,,,,N,N,N
STRL,3.17,1.57,6.55,5004,3187.0,611.47,,,,N,N,N
HUBB,3.12,1.42,8.04,3541,2500.0,476.04,37,2026-10-26,83,N,N,N
TVTX,2.08,1.09,5.69,2344,2145.0,54.98,,,,N,N,N
AXSM,1.87,0.97,5.87,2757,2845.0,211.04,,,,N,N,N
GRMN,1.76,0.89,6.26,1986,2242.0,304.76,,,,N,N,N
DOCS,1.51,0.55,14.55,11283,20502.0,21.66,,,,N,N,N
NKE,1.41,0.74,5.78,210609,285084.0,42.64,14,2026-09-28,55,N,N,N
VRTX,1.4,0.99,3.13,12832,12976.0,470.72,100,2026-08-03,-1,N,N,N
PRAX,1.27,0.86,3.35,853,990.0,305.51,,,,N,N,N
RDDT,1.06,0.71,3.43,77513,109000.0,154.71,77,2026-10-28,85,N,N,N
ZBRA,0.96,0.5,5.75,3346,6681.0,291.64,18,,,N,N,N
FSLR,0.92,0.57,4.1,41122,72754.0,232.73,100,2026-10-28,85,N,N,N
ARE,0.89,0.6,3.37,5512,9143.0,53.03,23,2026-08-03,-1,N,N,N
FANG,0.81,0.54,3.48,3515,6517.0,198.75,100,2026-08-03,-1,N,N,N
GDDY,0.77,0.55,3.06,7875,14408.0,88.45,49,2026-10-28,85,N,N,N
LVS,0.75,0.54,3.05,9455,17650.0,47.28,14,2026-10-20,77,N,N,N
