ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
ITGR,2.66,1.78,3.47,2134,1200.0,126.20,20,,,N,N,N
SPG,1.81,0.78,9.13,9057,11607.0,211.88,30,2026-11-02,54,N,N,N
SMR,1.62,0.91,5.01,153251,169117.0,11.18,0,2026-11-04,56,N,N,N
BDX,1.13,0.58,5.96,3644,6279.0,179.10,10,2026-08-06,-34,N,N,N
QCOM,1.08,0.62,4.66,185650,297847.0,174.09,5,2026-11-03,55,N,N,N
CME,0.96,0.56,4.52,12010,21405.0,278.23,100,2026-10-28,49,N,N,N
POET,0.73,0.5,3.29,87551,175026.0,8.31,2,2026-11-11,63,N,N,N
