ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
CSGP,1.25,0.68,5.26,6782,9975.0,31.12,13,2026-10-26,75,Y,N,Y
RCEL,8.59,4.97,4.64,703,142.0,8.20,,,,N,N,N
BIRK,5.67,1.78,23.18,36459,20497.0,37.47,,,,N,N,N
KNSA,3.96,2.04,6.0,1321,649.0,77.80,25,,,N,N,N
OLED,2.82,1.17,10.05,7448,6342.0,94.04,16,2026-11-04,84,N,N,N
DVA,2.74,1.31,7.09,10510,8018.0,178.34,20,2026-10-27,76,N,N,N
AWI,2.16,1.17,5.3,743,632.0,186.70,43,,,N,N,N
BW,1.52,0.87,4.7,25688,29446.0,9.19,,,,N,N,N
PLUG,1.47,0.81,5.08,83193,102313.0,2.22,86,2026-11-09,89,N,N,N
ACM,1.19,0.71,4.26,1943,2721.0,67.05,100,2026-08-10,-2,N,N,N
NTRS,1.16,0.53,7.85,1698,3204.0,187.78,,,,N,N,N
SE,1.02,0.53,5.9,35028,66252.0,131.51,,,,N,N,N
SMCI,0.82,0.58,3.12,387069,664584.0,31.60,90,2026-08-11,-1,N,N,N
ADP,0.79,0.56,3.11,9682,17279.0,271.09,41,2026-10-27,76,N,N,N
