ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
TYL,11.57,4.23,14.37,1297,306.0,333.50,84,2026-07-29,-1,N,N,N
SONO,4.86,1.93,11.38,1429,741.0,17.52,,,,N,N,N
INSW,2.55,1.36,5.49,7139,5231.0,94.55,22,,,N,N,N
SNY,1.63,0.85,5.79,7583,8905.0,44.85,13,,,N,N,N
BANC,1.43,0.84,4.44,4227,5025.0,18.59,,,,N,N,N
PSN,1.16,0.79,3.36,2636,3331.0,40.32,73,2026-07-29,-1,N,N,N
RKT,0.92,0.59,3.74,89441,151058.0,13.70,56,,,N,N,N
DY,0.86,0.52,4.15,1243,2375.0,371.92,,,,N,N,N
UPWK,0.8,0.54,3.46,1451,2706.0,9.53,69,,,N,N,N
