ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
INSW,9.71,3.04,23.46,55800,18375.0,104.62,22,,,N,N,N
INVA,7.52,2.72,14.95,1346,495.0,21.13,,,,N,N,N
KSPI,2.8,1.04,13.73,5939,5707.0,100.00,,,,N,N,N
AVAV,2.41,1.14,7.32,35291,31083.0,140.80,38,2026-09-09,-1,N,N,N
GRAB,2.08,0.89,9.41,102771,115714.0,3.04,55,,,N,N,N
OXY,1.12,0.56,6.35,135335,241562.0,61.30,0,2026-11-09,60,N,N,N
BDX,0.95,0.52,5.3,3111,5995.0,179.80,10,2026-08-06,-35,N,N,N
BANC,0.93,0.61,3.62,3398,5605.0,18.40,,,,N,N,N
