ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
RCEL,11.21,5.66,6.25,987,174.0,7.77,,,,N,N,N
DOCS,8.59,3.04,15.8,66653,21897.0,27.40,,,,N,N,N
AHCO,5.08,2.26,8.5,3531,1566.0,5.69,,,,N,N,N
BMRN,2.35,1.02,8.87,7067,6898.0,63.81,57,2026-08-06,-2,N,N,N
AEM,1.74,0.97,5.03,22645,23362.0,178.82,100,2026-07-29,-10,N,N,N
CROX,1.55,0.77,6.43,6863,8876.0,136.62,18,2026-10-28,81,N,N,N
TTD,1.47,0.88,4.29,104488,118647.0,13.80,100,2026-11-04,88,N,N,N
CRSR,1.43,0.58,10.92,14339,24819.0,14.35,31,2026-11-03,87,N,N,N
HUBB,1.34,0.93,3.21,4375,4682.0,513.99,37,2026-10-26,79,N,N,N
TRMB,1.26,0.75,4.35,3441,4567.0,59.51,,,,N,N,N
KSPI,1.21,0.63,5.87,1634,2605.0,90.30,,,,N,N,N
ALKT,1.07,0.7,3.59,3751,5325.0,19.73,,2026-10-28,81,N,N,N
SIRI,0.94,0.64,3.38,48652,76284.0,29.91,,,,N,N,N
WRD,0.93,0.55,4.35,2709,4899.0,6.30,,,,N,N,N
HWM,0.74,0.53,3.0,6034,11309.0,281.88,80,2026-08-06,-2,N,N,N
