ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
INVA,2.42,1.56,3.7,1069,683.0,21.20,,,,N,N,N
FANG,1.44,0.65,8.27,15280,23568.0,194.54,34,2026-11-02,46,N,N,N
DT,1.35,0.72,5.5,11774,16291.0,55.19,76,,,N,N,N
CRM,1.12,0.71,3.88,268545,378964.0,250.54,33,2026-12-01,75,N,N,N
CB,1.03,0.53,5.94,7673,14498.0,341.53,35,2026-10-20,33,N,N,N
KSPI,1.0,0.7,3.21,3649,5224.0,97.75,,,,N,N,N
BDX,0.97,0.61,3.89,3585,5835.0,181.85,8,2026-11-05,49,N,N,N
