ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
INVA,6.49,2.77,9.42,1346,486.0,20.62,,,,N,N,N
CRUS,4.86,1.83,13.28,3132,1712.0,116.48,,2026-11-03,53,N,N,N
INSW,4.25,1.98,7.59,37872,19173.0,102.14,22,,,N,N,N
OLED,2.58,1.09,9.75,12689,11688.0,81.16,13,2026-11-04,54,N,N,N
TREE,2.5,1.25,6.43,2814,2253.0,26.89,,,,N,N,N
KSPI,1.65,0.79,6.99,4448,5610.0,97.15,,,,N,N,N
FDS,1.62,0.83,6.03,5603,6733.0,262.93,35,2026-09-30,19,N,N,N
DGX,1.47,0.69,7.59,3605,5261.0,231.14,100,2026-10-20,39,N,N,N
CPRT,1.08,0.53,6.67,17305,32773.0,30.75,53,2026-09-10,-1,N,N,N
BDX,0.88,0.51,4.68,3179,6289.0,176.42,10,2026-08-06,-36,N,N,N
AVAV,0.86,0.56,3.63,16518,29540.0,147.06,38,2026-12-07,87,N,N,N
ADP,0.84,0.61,3.01,9553,15710.0,267.33,58,2026-11-04,54,N,N,N
