ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
KLAR,2.06,1.24,4.23,32071,25802.0,19.03,6,2026-08-18,27,N,N,N
IBKR,1.74,0.97,5.0,13840,14282.0,94.42,86,2026-07-21,-1,N,N,N
BANC,1.53,0.7,8.05,3313,4761.0,21.83,,,,N,N,N
HAS,1.44,0.78,5.31,4938,6334.0,88.78,69,2026-07-21,-1,N,N,N
CPRT,1.4,0.72,5.99,8423,11701.0,27.17,36,2026-09-02,42,N,N,N
NOC,1.35,0.79,4.49,2893,3640.0,512.29,77,2026-07-21,-1,N,N,N
