ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
CTSH,3.0,1.32,8.66,31290,23683.0,56.61,56,,,N,N,N
KNSA,2.88,1.83,3.81,1423,776.0,79.18,25,,,N,N,N
PTC,2.37,1.26,5.57,4527,3591.0,145.98,7,2026-11-04,78,N,N,N
CB,1.46,0.6,10.3,9657,16043.0,340.86,36,2026-10-19,62,N,N,N
TEN,1.18,0.71,4.26,3537,4995.0,42.16,75,2026-09-09,22,N,N,N
FIX,0.77,0.55,3.01,2797,5066.0,1881.18,0,2026-10-21,64,N,N,N
