ticker,unusual_score,vol_to_oi,vol_to_avg_vol,today_volume,oi_20d_avg,spot,iv_rank,earnings_date,days_to_earnings,insider_buy_30d,activist_filing_30d,convergence
VLTO,2.2,1.22,5.07,1280,1049.0,98.47,,,,N,N,N
HAS,1.69,0.86,6.13,7927,9238.0,96.34,9,2026-10-21,84,N,N,N
CLS,1.38,0.89,3.74,36138,40674.0,350.20,,,,N,N,N
CTSH,1.09,0.56,5.9,12214,21651.0,50.31,100,,,N,N,N
MAT,0.99,0.56,4.76,11295,20000.0,15.44,94,,,N,N,N
